mysqld, Version: 5.7.41-log (MySQL Community Server (GPL)). started with:
Tcp port: 0  Unix socket: /var/run/mysqld/mysqld.sock
Time                 Id Command    Argument
2023-04-06T13:20:28.137002Z	    2 Connect	root@172.23.0.9 on friendly using TCP/IP
2023-04-06T13:20:28.137343Z	    2 Query	use `friendly`
2023-04-06T13:20:28.139223Z	    2 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
2023-04-06T13:20:28.139364Z	    2 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
2023-04-06T13:20:28.139530Z	    2 Close stmt	
2023-04-06T13:20:28.139625Z	    2 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION'
2023-04-06T13:20:28.139738Z	    2 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION'
2023-04-06T13:20:28.139893Z	    2 Close stmt	
2023-04-06T13:20:28.139933Z	    2 Query	START TRANSACTION
2023-04-06T13:20:28.144118Z	    2 Query	ROLLBACK
2023-04-06T13:20:32.150472Z	    2 Query	START TRANSACTION
2023-04-06T13:20:32.151232Z	    2 Query	ROLLBACK
mysqld, Version: 5.7.41-log (MySQL Community Server (GPL)). started with:
Tcp port: 0  Unix socket: /var/run/mysqld/mysqld.sock
Time                 Id Command    Argument
2023-04-06T13:22:57.471328Z	    2 Connect	root@172.24.0.5 on friendly using TCP/IP
2023-04-06T13:22:57.471590Z	    2 Query	use `friendly`
2023-04-06T13:22:57.472909Z	    2 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
2023-04-06T13:22:57.472996Z	    2 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
2023-04-06T13:22:57.473072Z	    2 Close stmt	
2023-04-06T13:22:57.473203Z	    2 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION'
2023-04-06T13:22:57.473253Z	    2 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION'
2023-04-06T13:22:57.473324Z	    2 Close stmt	
2023-04-06T13:22:57.473404Z	    2 Query	START TRANSACTION
2023-04-06T13:22:57.477852Z	    2 Query	ROLLBACK
2023-04-06T13:23:01.484415Z	    2 Query	START TRANSACTION
2023-04-06T13:23:01.485119Z	    2 Query	ROLLBACK
2023-04-06T13:23:05.485994Z	    2 Query	START TRANSACTION
2023-04-06T13:23:05.486775Z	    2 Query	ROLLBACK
